,Year,Month,Day,StartTS,EndTS,TimeZone,MRID,Status,Type,areacode,AreaTypeCode,AreaName,MapCode,PowerResourceEIC,UnitName,ProductionType,InstalledGenCapacity,UnavailabilityValue,Version,Reason,UpdateTime,startMins,endMins
4250927,2015,1,2,2015-01-02 12:36:00.000,2015-01-04 16:06:00.000,CET,8W0Cjyr2vZ7yaEvrrMC8_g,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000035W,Letsi G1,Hydro Water Reservoir ,146.0,0,3,Failure,2018-10-02 11:42:16,2196.0,5286.0
4251553,2015,1,5,2015-01-05 15:30:00.000,2015-01-05 19:40:00.000,CET,iEdXLVb8ppP8SDeFCTsT3g,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000208,Ritsem G1,Hydro Water Reservoir ,320.0,0,2,Failure,2018-10-02 11:42:21,6690.0,6940.0
4252623,2015,1,5,2015-01-05 19:58:00.000,2015-01-07 15:00:00.000,CET,Jy7IDH1fievgBjnlibD6eQ,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000208,Ritsem G1,Hydro Water Reservoir ,320.0,0,3,Failure,2018-10-02 11:42:22,6958.0,9540.0
4260863,2015,1,12,2015-01-12 06:04:00.000,2015-01-12 16:00:00.000,CET,bZ4XL4bCBy-hSZ3B2aYo1A,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000208,Ritsem G1,Hydro Water Reservoir ,320.0,0,2,Failure,2018-10-02 11:42:33,16204.0,16800.0
4262393,2015,1,13,2015-01-13 09:00:00.000,2015-01-13 18:14:00.000,CET,Shs61V8K5WYtNWJV4s2SCA,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000208,Ritsem G1,Hydro Water Reservoir ,320.0,0,3,Foreseen Maintenance,2018-10-02 11:42:36,17820.0,18374.0
4263013,2015,1,14,2015-01-14 12:40:00.000,2015-01-15 07:55:00.000,CET,iS6FVWRDMTaBWJMgg-GrfQ,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000035W,Letsi G1,Hydro Water Reservoir ,146.0,0,3,Failure,2018-10-02 11:42:38,19480.0,20635.0
4260879,2015,1,15,2015-01-15 08:00:00.000,2015-01-15 16:00:00.000,CET,fGrg8ZrLsqM25ZRiOj24cw,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000034Y,Seitevare G1,Hydro Water Reservoir ,225.0,0,1,Foreseen Maintenance,2018-10-02 11:42:33,20640.0,21120.0
4263705,2015,1,16,2015-01-16 07:00:00.000,2015-01-16 11:00:00.000,CET,nDUe8qHugkbr6-IgN8-DTQ,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000035W,Letsi G1,Hydro Water Reservoir ,146.0,0,2,Foreseen Maintenance,2018-10-02 11:42:40,22020.0,22260.0
4263704,2015,1,16,2015-01-16 07:00:00.000,2015-01-16 11:00:00.000,CET,1Wx_v2VeLvT7SBiwWSHWOA,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000036U,Letsi G2,Hydro Water Reservoir ,146.0,0,2,Foreseen Maintenance,2018-10-02 11:42:39,22020.0,22260.0
4404258,2015,1,16,2015-01-16 07:00:00.000,2015-02-27 13:20:00.000,CET,eoI2hgVk8Z9Nwjs43x20Yg,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000037S,Letsi G3,Hydro Water Reservoir ,146.0,0,2,Foreseen Maintenance,2018-10-02 14:10:04,22020.0,82880.0
4266033,2015,1,19,2015-01-19 07:14:00.000,2015-01-19 09:00:00.000,CET,jR7Q16umCrcjlNkjdQl-Gg,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000028T,Harsprånget G5,Hydro Water Reservoir ,440.0,0,1,Failure,2018-10-02 11:42:46,26354.0,26460.0
4272482,2015,1,25,2015-01-25 21:02:00.000,2015-01-26 07:00:00.000,CET,TyGWrjMUL6hFZ06-KV21ng,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000321,Messaure G3,Hydro Water Reservoir ,152.0,0,1,Failure,2018-10-02 11:43:03,35822.0,36420.0
4275380,2015,1,28,2015-01-28 09:48:00.000,2015-01-28 20:00:00.000,CET,AzcBA1gDbuLgZn_BIrHAoA,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000240,Porjus G12,Hydro Water Reservoir ,220.0,0,2,Failure,2018-10-02 11:43:09,39468.0,40080.0
4276600,2015,1,28,2015-01-28 15:44:00.000,2015-01-29 17:50:00.000,CET,Faiq2PkzOAfw6hmkjbJA-A,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000028T,Harsprånget G5,Hydro Water Reservoir ,440.0,0,2,Failure,2018-10-02 11:43:12,39824.0,41390.0
4277245,2015,1,29,2015-01-29 16:42:00.000,2015-02-01 15:00:00.000,CET,wbrYMOq-bQjQKdXtsZ2MYg,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000208,Ritsem G1,Hydro Water Reservoir ,320.0,0,3,Failure,2018-10-02 11:43:13,41322.0,45540.0
3428247,2015,2,2,2015-02-02 08:00:00.000,2015-02-13 15:00:00.000,CET,hHnMva0W0lqaUdgSlNtQDQ,Withdrawn,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000208,Ritsem G1,Hydro Water Reservoir ,320.0,0,1,Foreseen Maintenance,2018-10-02 11:43:05,46560.0,62820.0
3431534,2015,2,3,2015-02-03 11:43:00.000,2015-02-04 17:21:00.000,CET,tttU26etZ6df_cyUE6aTCA,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000034Y,Seitevare G1,Hydro Water Reservoir ,225.0,0,4,Failure,2018-10-02 11:43:25,48223.0,50001.0
3432735,2015,2,11,2015-02-11 08:30:00.000,2015-02-11 16:00:00.000,CET,7wB6gKyNWM2Gq46yqO3z1g,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000029R,Ligga G3,Hydro Water Reservoir ,179.0,0,1,Foreseen Maintenance,2018-10-02 11:43:29,59550.0,60000.0
3439815,2015,2,17,2015-02-17 20:15:00.000,2015-02-17 22:15:00.000,CET,Aw5g4-_fagbaOsDFyOfiGg,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000402,Gallejaur G1,Hydro Water Reservoir ,113.0,0,1,Foreseen Maintenance,2018-10-02 11:43:51,68895.0,69015.0
3439817,2015,2,17,2015-02-17 22:30:00.000,2015-02-18 00:45:00.000,CET,PFW5Db3_VZkhWs98tFCtRw,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000410,Gallejaur G2,Hydro Water Reservoir ,101.0,0,1,Foreseen Maintenance,2018-10-02 11:43:51,69030.0,69165.0
3430136,2015,2,18,2015-02-18 09:00:00.000,2015-02-18 18:00:00.000,CET,jeTazvf8jivYot91esGHlQ,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000034Y,Seitevare G1,Hydro Water Reservoir ,225.0,0,1,Foreseen Maintenance,2018-10-02 11:43:20,69660.0,70200.0
3443494,2015,2,18,2015-02-18 12:00:00.000,2015-02-18 13:00:00.000,CET,NvXyDym2BPVp1p7Ns3pvjQ,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000039O,Bastusel G1,Hydro Water Reservoir ,100.0,0,1,Foreseen Maintenance,2018-10-02 11:44:03,69840.0,69900.0
3439585,2015,2,19,2015-02-19 12:00:00.000,2015-02-19 15:00:00.000,CET,HVvt9DFKUaSsxxWuP0qgXQ,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000028T,Harsprånget G5,Hydro Water Reservoir ,440.0,0,1,Foreseen Maintenance,2018-10-02 11:43:51,71280.0,71460.0
3457342,2015,2,26,2015-02-26 09:30:00.000,2015-02-26 11:00:00.000,CET,xXuo7tcq3UNzGk-yQV-Img,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000036U,Letsi G2,Hydro Water Reservoir ,146.0,0,1,Foreseen Maintenance,2018-10-02 11:44:37,81210.0,81300.0
3457341,2015,2,26,2015-02-26 09:30:00.000,2015-02-26 11:00:00.000,CET,-kVwpS8gAxug-WJ39kZh9Q,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000035W,Letsi G1,Hydro Water Reservoir ,146.0,0,1,Foreseen Maintenance,2018-10-02 11:44:37,81210.0,81300.0
3449230,2015,2,26,2015-02-26 12:00:00.000,2015-02-26 14:00:00.000,CET,W1QO_zoaXU1322cimZie7Q,Withdrawn,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000028T,Harsprånget G5,Hydro Water Reservoir ,440.0,0,1,Foreseen Maintenance,2018-10-02 11:44:16,81360.0,81480.0
5260030,2015,3,1,2015-03-01 06:12:00.000,2015-03-01 08:40:00.000,CET,TK5qX9jQYD4LVQhPU2LZpw,Active,Forced,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU00000000305,Messaure G1,Hydro Water Reservoir ,150.0,0,2,Failure,2018-10-02 11:44:53,85332.0,85480.0
5258681,2015,3,3,2015-03-03 09:00:00.000,2015-03-03 15:00:00.000,CET,XdKTZdpH4LhfDq9XneHkIw,Withdrawn,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000034Y,Seitevare G1,Hydro Water Reservoir ,225.0,0,1,Foreseen Maintenance,2018-10-02 11:44:29,88380.0,88740.0
5262610,2015,3,4,2015-03-04 08:00:00.000,2015-03-04 13:30:00.000,CET,cXvj12pcKbsIuPOkTuPNVg,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000028T,Harsprånget G5,Hydro Water Reservoir ,440.0,0,2,Foreseen Maintenance,2018-10-02 11:45:02,89760.0,90090.0
5260578,2015,3,5,2015-03-05 11:00:00.000,2015-03-05 16:00:00.000,CET,9gk2Yna1iXuO6htaSETlrQ,Active,Planned,10Y1001A1001A44P,BZN,SE1 BZ,SE1,46WGU0000000039O,Bastusel G1,Hydro Water Reservoir ,100.0,0,1,Foreseen Maintenance,2018-10-02 11:44:56,91380.0,91680.0
