,Year,Month,Day,DateTime,ResolutionCode,AreaCode,AreaTypeCode,AreaName,MapCode,Price,Currency,UpdateTime
1393,2020,1,1,2020-01-01 00:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,17.870153031349183,EUR,2019-12-31 14:32:45
1687,2020,1,1,2020-01-01 01:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,17.609339051246643,EUR,2019-12-31 14:32:45
1382,2020,1,1,2020-01-01 02:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,17.295350556373595,EUR,2019-12-31 14:32:45
1377,2020,1,1,2020-01-01 03:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,16.94210485458374,EUR,2019-12-31 14:32:45
1397,2020,1,1,2020-01-01 04:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,16.56364522457123,EUR,2019-12-31 14:32:45
1688,2020,1,1,2020-01-01 05:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,16.172381029129028,EUR,2019-12-31 14:32:45
1384,2020,1,1,2020-01-01 06:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,15.778892583847046,EUR,2019-12-31 14:32:45
1380,2020,1,1,2020-01-01 07:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,15.402849864959716,EUR,2019-12-31 14:32:45
1399,2020,1,1,2020-01-01 08:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,15.088250041007996,EUR,2019-12-31 14:32:45
1689,2020,1,1,2020-01-01 09:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,14.873554973602294,EUR,2019-12-31 14:32:45
1390,2020,1,1,2020-01-01 10:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,14.771281471252442,EUR,2019-12-31 14:32:45
1383,2020,1,1,2020-01-01 11:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,14.75606616973877,EUR,2019-12-31 14:32:45
1400,2020,1,1,2020-01-01 12:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,14.768084034919738,EUR,2019-12-31 14:32:45
1690,2020,1,1,2020-01-01 13:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,14.736861791610718,EUR,2019-12-31 14:32:45
1394,2020,1,1,2020-01-01 14:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,14.619747195243836,EUR,2019-12-31 14:32:45
1386,2020,1,1,2020-01-01 15:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,14.404984202384949,EUR,2019-12-31 14:32:45
1401,2020,1,1,2020-01-01 16:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,14.111106581687928,EUR,2019-12-31 14:32:45
