Unnamed: 0,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,RegisterItemTypeName,LoadUpPrice,LoadDownPrice,GenerationUpPrice,GenerationDownPrice,NotSpecifiedUpPrice,NotSpecifiedDownPrice,PriceType,Currency,UpdateTime
43662,2019,5,13,2019-05-13 22:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,38.34,37.0,AVERAGE,EUR,2019-05-15 09:31:22
43663,2019,5,13,2019-05-13 23:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,35.83,34.83,AVERAGE,EUR,2019-05-15 09:31:22
43664,2019,5,14,2019-05-14 00:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,36.18,35.7,AVERAGE,EUR,2019-05-15 09:31:22
43665,2019,5,14,2019-05-14 01:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,35.82,35.82,AVERAGE,EUR,2019-05-15 09:31:22
43666,2019,5,14,2019-05-14 02:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,37.38,36.5,AVERAGE,EUR,2019-05-15 09:31:22
43667,2019,5,14,2019-05-14 03:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,40.95,37.0,AVERAGE,EUR,2019-05-15 09:31:22
43668,2019,5,14,2019-05-14 04:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,49.62,38.5,AVERAGE,EUR,2019-05-15 09:31:22
43669,2019,5,14,2019-05-14 05:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,58.75,40.5,AVERAGE,EUR,2019-05-15 09:31:22
43670,2019,5,14,2019-05-14 06:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,61.38,41.0,AVERAGE,EUR,2019-05-15 09:31:22
43671,2019,5,14,2019-05-14 07:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,59.6,39.5,AVERAGE,EUR,2019-05-15 09:31:22
43672,2019,5,14,2019-05-14 08:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,57.51,39.0,AVERAGE,EUR,2019-05-15 09:31:22
43673,2019,5,14,2019-05-14 09:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,50.35,38.0,AVERAGE,EUR,2019-05-15 09:31:22
43674,2019,5,14,2019-05-14 10:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,47.7,37.84,AVERAGE,EUR,2019-05-15 09:31:22
43675,2019,5,14,2019-05-14 11:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,50.3,37.0,AVERAGE,EUR,2019-05-15 09:31:22
43676,2019,5,14,2019-05-14 12:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,42.82,36.66,AVERAGE,EUR,2019-05-15 09:31:22
43677,2019,5,14,2019-05-14 13:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,42.18,36.66,AVERAGE,EUR,2019-05-15 09:31:22
43678,2019,5,14,2019-05-14 14:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,41.95,36.66,AVERAGE,EUR,2019-05-15 09:31:22
43679,2019,5,14,2019-05-14 15:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,42.33,36.66,AVERAGE,EUR,2019-05-15 09:31:22
43680,2019,5,14,2019-05-14 16:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,49.29,38.2,AVERAGE,EUR,2019-05-15 09:31:22
43681,2019,5,14,2019-05-14 17:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,49.28,39.21,AVERAGE,EUR,2019-05-15 09:31:22
43682,2019,5,14,2019-05-14 18:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,47.29,39.0,AVERAGE,EUR,2019-05-15 09:31:22
43683,2019,5,14,2019-05-14 19:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,48.36,38.7,AVERAGE,EUR,2019-05-15 09:31:22
43684,2019,5,14,2019-05-14 20:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,44.11,38.7,AVERAGE,EUR,2019-05-15 09:31:22
43685,2019,5,14,2019-05-14 21:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,40.36,38.19,AVERAGE,EUR,2019-05-15 09:31:22
83190,2019,5,14,2019-05-14 22:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,37.1,37.1,AVERAGE,EUR,2019-05-15 15:16:01
83191,2019,5,14,2019-05-14 23:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,38.92,38.92,AVERAGE,EUR,2019-05-15 15:16:01
83194,2019,5,15,2019-05-15 00:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,39.04,39.04,AVERAGE,EUR,2019-05-15 15:16:01
83195,2019,5,15,2019-05-15 01:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,41.0,39.11,AVERAGE,EUR,2019-05-15 15:16:01
83196,2019,5,15,2019-05-15 02:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,41.0,34.99,AVERAGE,EUR,2019-05-15 15:16:01
83197,2019,5,15,2019-05-15 03:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,41.69,40.69,AVERAGE,EUR,2019-05-15 15:16:01
83198,2019,5,15,2019-05-15 04:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,46.65,46.65,AVERAGE,EUR,2019-05-15 15:16:01
83199,2019,5,15,2019-05-15 05:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,57.13,57.13,AVERAGE,EUR,2019-05-15 15:16:01
83200,2019,5,15,2019-05-15 06:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,61.75,61.75,AVERAGE,EUR,2019-05-15 15:16:01
83201,2019,5,15,2019-05-15 07:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,59.6,40.5,AVERAGE,EUR,2019-05-15 15:16:01
83202,2019,5,15,2019-05-15 08:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Automatic Frequency Restoration Reserve (aFRR),,,,,56.66,40.5,AVERAGE,EUR,2019-05-15 15:16:01
