,Year,Month,Day,StartTS,EndTS,TimeZone,MRID,Status,Type,areacode,AreaTypeCode,AreaName,MapCode,PowerResourceEIC,UnitName,ProductionType,InstalledGenCapacity,UnavailabilityValue,Version,Reason,UpdateTime,startMins,endMins
4400505,2015,1,7,2015-01-07 00:15:00.000,2015-01-08 18:15:00.000,CET,iTF5_K0qTg_2XHENL2UXEQ,Active,Planned,10YBE----------2,BZN,Elia BZ,BE,22WLANGER1501694,LANGERLO 1,Fossil Hard coal ,235.0,0,1,Failure,2018-10-02 12:45:58,8655.0,11175.0
4400469,2015,1,9,2015-01-09 06:00:00.000,2015-01-09 16:00:00.000,CET,7nkLhsgAIZ0ki3l_BV_BeA,Active,Planned,10YBE----------2,BZN,Elia BZ,BE,22WLANGER150171H,LANGERLO 2,Fossil Hard coal ,235.0,115,1,Failure,2018-10-02 12:45:58,11880.0,12480.0
4261372,2015,1,13,2015-01-13 04:12:00.000,2015-01-13 09:01:00.000,CET,TCNCz5gYe7C2uvTwZhVk3g,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WDROGEN0000839,DROGENBOS GT1,Fossil Gas ,150.0,0,2,Complementary Information,2018-10-02 11:42:35,17532.0,17821.0
4261373,2015,1,13,2015-01-13 04:12:00.000,2015-01-13 09:01:00.000,CET,rPoKknugrK_EJJY7gw-LPQ,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WDROGEN0000847,DROGENBOS GT2,Fossil Gas ,150.0,0,2,Complementary Information,2018-10-02 11:42:35,17532.0,17821.0
4261374,2015,1,13,2015-01-13 04:12:00.000,2015-01-13 09:01:00.000,CET,e4Lb1_Den0tV5DoKfmlNfg,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WDROGEN0000855,DROGENBOS ST,Fossil Gas ,165.0,0,2,Complementary Information,2018-10-02 11:42:35,17532.0,17821.0
4273655,2015,1,26,2015-01-26 18:03:00.000,2015-01-27 18:03:00.000,CET,aqjJcWSzZzwZCQaONpMtcA,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WCOOX5X000061A,COO 5 T,Hydro Pumped Storage ,230.0,0,1,Complementary Information,2018-10-02 11:43:06,37083.0,38523.0
4401377,2015,1,27,2015-01-27 11:15:00.000,2015-02-04 00:00:00.000,CET,1QmpL28DsKGnNvuYNH2EhA,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WLANGER150171H,LANGERLO 2,Fossil Hard coal ,235.0,0,1,Failure,2018-10-02 12:46:53,38115.0,48960.0
4275268,2015,1,28,2015-01-28 12:15:00.000,2015-01-28 13:15:00.000,CET,wi9HK69HPf4xIbBxhxyq7A,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WAMERCO000008L,Amercoeur 1 R GT,Fossil Gas ,289.0,237,1,Complementary Information,2018-10-02 11:43:08,39615.0,39675.0
4275267,2015,1,28,2015-01-28 12:15:00.000,2015-01-28 13:15:00.000,CET,X6zBTWVDPCm8UmKCrLTSYg,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WAMERCO000009J,Amercoeur 1 R ST,Fossil Gas ,162.0,127,1,Complementary Information,2018-10-02 11:43:08,39615.0,39675.0
4401413,2015,1,28,2015-01-28 13:15:00.000,2015-01-28 22:15:00.000,CET,dITFFu5Xh1LingCmwymVWg,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WLANGER1501694,LANGERLO 1,Fossil Hard coal ,235.0,0,1,Failure,2018-10-02 12:46:53,39675.0,40215.0
4401412,2015,1,30,2015-01-30 05:15:00.000,2015-01-30 12:00:00.000,CET,qBtqNKehHFDPwwpIZgOMnQ,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WLANGER1501694,LANGERLO 1,Fossil Hard coal ,235.0,70,1,Failure,2018-10-02 12:46:53,42075.0,42480.0
4277610,2015,1,30,2015-01-30 20:11:00.000,2015-01-30 21:54:00.000,CET,IeSfl-b1kBPyiZLqTPPoSQ,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WCOOX3X000055N,COO 3 T,Hydro Pumped Storage ,158.0,0,2,Complementary Information,2018-10-02 11:43:13,42971.0,43074.0
3432542,2015,2,6,2015-02-06 02:48:00.000,2015-02-06 06:31:00.000,CET,rjGaQAMZrgSEM-lO6qVthA,Active,Forced,10YBE----------2,BZN,Elia BZ,BE,22WDROGEN0000839,DROGENBOS GT1,Fossil Gas ,150.0,0,5,Complementary Information,2018-10-02 11:43:28,52008.0,52231.0
