,Year,Month,Day,StartTS,EndTS,TimeZone,MRID,Status,Type,areacode,AreaTypeCode,AreaName,MapCode,PowerResourceEIC,UnitName,ProductionType,InstalledGenCapacity,UnavailabilityValue,Version,Reason,UpdateTime,startMins,endMins
0,2015,1,29,2015-01-29 23:00:00.000,2015-02-24 23:00:00.000,CET,6AI7y50zJPpue1rOmG3dDw,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-LAVRIO-V-X,LAVRIO5,Fossil Gas ,378.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,41700.0,79140.0
1,2015,2,13,2015-02-13 23:00:00.000,2015-04-17 23:00:00.000,CET,OjY5JnoK-2aBJxcJ8ilcgg,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-MELITII--3,MELITI,Fossil Brown coal/Lignite ,289.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,63300.0,154020.0
2,2015,2,13,2015-02-13 23:00:00.000,2015-02-22 23:00:00.000,CET,6BIImyBVp1f4yt5h5-Vo6g,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-KARDIAI--4,KARDIA1,Fossil Brown coal/Lignite ,272.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,63300.0,76260.0
3,2015,2,21,2015-02-21 23:00:00.000,2015-03-03 23:00:00.000,CET,4hj1O1WCyrW3VPr-Dd1Htg,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-ALOUMINIOF,ALOUMINIO,Fossil Gas ,334.0,250,3,Complementary Information,2018-10-02 12:46:53,74820.0,89220.0
4,2015,3,1,2015-03-01 23:00:00.000,2015-04-24 23:00:00.000,CET,pyURkYVHrZDN6B8uPlrNTw,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-LAVRIO-IV8,LAVRIO4,Fossil Gas ,550.0,368,2,Complementary Information,2018-10-02 12:20:08,86340.0,164100.0
5,2015,3,7,2015-03-07 23:00:00.000,2015-06-21 23:00:00.000,CET,0FEiVU-ltb_o6PT53xJWPg,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-AGDIMI-V-6,AG_DIMITRIOS5,Fossil Brown coal/Lignite ,342.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,94980.0,247620.0
6,2015,3,13,2015-03-13 23:00:00.000,2015-03-23 23:00:00.000,CET,BOegOxDKRhrYz4IBfBqXfg,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-KARDIAII-L,KARDIA2,Fossil Brown coal/Lignite ,271.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,103620.0,118020.0
7,2015,3,15,2015-03-15 23:00:00.000,2015-04-05 23:00:00.000,CET,KiuJz4XX1qSLgycxkNyv2A,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-MEGAL-IV-Z,MEGALOPOLI4,Fossil Brown coal/Lignite ,256.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,106500.0,136740.0
8,2015,3,21,2015-03-21 23:00:00.000,2015-06-08 23:00:00.000,CET,hWc5fB_EgF_IYG-HsM_rpQ,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-PROTERGCC2,PROTERGIA_CC,Fossil Gas ,432.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,115140.0,228900.0
9,2015,4,17,2015-04-17 23:00:00.000,2015-05-15 23:00:00.000,CET,w01A4jjXa7IgUNxEWgPiUQ,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-KARDIAIV-J,KARDIA4,Fossil Brown coal/Lignite ,280.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,154020.0,194340.0
10,2015,4,17,2015-04-17 23:00:00.000,2015-04-25 23:00:00.000,CET,qxi4Fb42_LXD4Lezc9pCqA,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-MEGALIII-G,MEGALOPOLI3,Fossil Brown coal/Lignite ,255.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,154020.0,165540.0
11,2015,4,23,2015-04-23 23:00:00.000,2015-05-25 23:00:00.000,CET,kw_1EsehJ6_x_WGpS5F_SQ,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-HERON-CC-5,HERON_CC,Fossil Gas ,422.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,162660.0,208740.0
12,2015,5,15,2015-05-15 23:00:00.000,2015-06-21 23:00:00.000,CET,A27v1cMMYuDf3JH-kgKbqw,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-LAVRIO-IV8,LAVRIO4,Fossil Gas ,550.0,368,1,Complementary Information,2018-10-02 12:20:08,194340.0,247620.0
13,2015,5,26,2015-05-26 23:00:00.000,2015-06-25 23:00:00.000,CET,vqqRfzShbqk_e9aL37vLAA,Active,Planned,10YGR-HTSO-----Y,BZN,IPTO BZ,GR,29WGU-AGDIMIIII5,AG_DIMITRIOS3,Fossil Brown coal/Lignite ,283.0,0,2,Foreseen Maintenance,2018-10-02 12:46:53,210180.0,253380.0
