,Year,Month,Day,StartTS,EndTS,TimeZone,MRID,Status,Type,areacode,AreaTypeCode,AreaName,MapCode,PowerResourceEIC,UnitName,ProductionType,InstalledGenCapacity,UnavailabilityValue,Version,Reason,UpdateTime,startMins,endMins
4250935,2015,1,3,2015-01-03 02:40:00.000,2015-01-04 19:39:00.000,CET,MN9lPqo6H7XzAGRvQRyoaQ,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU0000000142V,Ringhals block 1 G11,Nuclear ,439.0,0,3,Failure,2018-10-02 11:42:16,3040.0,5499.0
4255551,2015,1,4,2015-01-04 09:44:00.000,2015-01-09 21:10:00.000,CET,9RnC0kaqJz4SPGNvOcdkoA,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU0000000009X,Oskarshamn G3,Nuclear ,1400.0,0,9,Failure,2018-10-02 11:42:27,4904.0,12790.0
4255935,2015,1,9,2015-01-09 21:35:00.000,2015-01-10 01:38:00.000,CET,ogGYfFtC73RunbdFKZnlIQ,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU0000000009X,Oskarshamn G3,Nuclear ,1400.0,230,2,Failure,2018-10-02 11:42:27,12815.0,13058.0
4256243,2015,1,10,2015-01-10 01:38:00.000,2015-01-10 05:15:00.000,CET,YT1E4f23Y1k5U_CxBTgNiQ,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU0000000009X,Oskarshamn G3,Nuclear ,1400.0,0,3,Failure,2018-10-02 11:42:28,13058.0,13275.0
4261197,2015,1,12,2015-01-12 08:20:00.000,2015-01-12 20:30:00.000,CET,RKLEr50ufejOZQkB9aLUtg,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU0000000009X,Oskarshamn G3,Nuclear ,1400.0,300,3,Failure,2018-10-02 11:42:33,16340.0,17070.0
4261217,2015,1,12,2015-01-12 21:06:00.000,2015-01-12 22:35:00.000,CET,eutpcMRUs-Pa15XB2FuCzA,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU00000000054,KVV1 Värtaverket,Fossil Oil ,190.0,0,3,Failure,2018-10-02 11:42:33,17106.0,17195.0
4276994,2015,1,13,2015-01-13 00:00:00.000,2015-01-30 11:00:00.000,CET,1YwKGdzVK55S8naC6cdFCQ,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU0000000001C,Rya KVV,Fossil Gas ,250.0,150,4,Failure,2018-10-02 11:43:12,17280.0,42420.0
4265253,2015,1,13,2015-01-13 07:58:00.000,2015-01-17 14:29:00.000,CET,GxXNlhr5bQ5ukHVKN9PGwA,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU0000000009X,Oskarshamn G3,Nuclear ,1400.0,0,11,Failure,2018-10-02 11:42:43,17758.0,23909.0
4265365,2015,1,17,2015-01-17 12:18:00.000,2015-01-18 18:00:00.000,CET,-40fapOj4lTLmWVU-MZU3w,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU00000000054,KVV1 Värtaverket,Fossil Oil ,190.0,0,2,Failure,2018-10-02 11:42:43,23778.0,25560.0
4262661,2015,1,23,2015-01-23 10:00:00.000,2015-01-23 12:00:00.000,CET,pv4IHRa8Pf60OjX3PGHJTg,Active,Planned,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU00000000070,Oskarshamn G1Ö+G1V,Nuclear ,473.0,330,2,Foreseen Maintenance,2018-10-02 11:42:36,32280.0,32400.0
4272699,2015,1,23,2015-01-23 22:07:00.000,2015-01-24 00:05:00.000,CET,ROjt64Av-ONJ16NAAw5M6Q,Active,Forced,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU00000000054,KVV1 Värtaverket,Fossil Oil ,190.0,0,3,Failure,2018-10-02 11:43:03,33007.0,33125.0
4273166,2015,1,26,2015-01-26 09:30:00.000,2015-01-26 12:28:00.000,CET,dYbs6dF9tQUF6qwfTZKlvA,Active,Planned,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU00000000046,Trängslet G3,Hydro Water Reservoir ,130.0,0,2,Foreseen Maintenance,2018-10-02 11:43:04,36570.0,36748.0
4276906,2015,1,30,2015-01-30 04:45:00.000,2015-02-01 00:00:00.000,CET,B4Ml71rXWBe9tloarf0WAw,Withdrawn,Planned,10Y1001A1001A46L,BZN,SE3 BZ,SE3,46WGU0000000148J,Ringhals block 4 G41,Nuclear ,469.0,0,1,Failure,2018-10-02 11:43:12,42045.0,44640.0
