,Year,Month,Day,StartTS,EndTS,TimeZone,MRID,Status,Type,areacode,AreaTypeCode,AreaName,MapCode,PowerResourceEIC,UnitName,ProductionType,InstalledGenCapacity,UnavailabilityValue,Version,Reason,UpdateTime,startMins,endMins
5385950,2015,3,9,2015-03-09 09:47:00.000,2015-09-04 09:47:00.000,CET,mblAGbsknMHjzPGdELwNbQ,Active,Planned,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG02---T,Nováky TG2,Fossil Brown coal/Lignite ,110.0,0,223,Foreseen Maintenance,2018-10-02 12:52:02,97067.0,354827.0
4827920,2015,5,25,2015-05-25 09:46:00.000,2015-11-04 09:46:00.000,CET,xXo2Nc_3GCdwgzoJTafOcw,Active,Planned,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG01---Y,Nováky TG1,Fossil Brown coal/Lignite ,110.0,0,223,Foreseen Maintenance,2018-10-02 12:52:02,207946.0,442666.0
4827921,2015,5,30,2015-05-30 09:54:00.000,2015-07-13 09:54:00.000,CET,dWktFbSdOqeScJh28yvmfw,Active,Planned,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EBOG31---D,Bohunice TG31,Nuclear ,250.0,0,223,Foreseen Maintenance,2018-10-02 12:52:02,215154.0,278514.0
4827919,2015,5,30,2015-05-30 09:54:00.000,2015-07-13 09:54:00.000,CET,v7tWu2kz8Uuc-GPQt73tuA,Active,Planned,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EBOG32---8,Bohunice TG32,Nuclear ,250.0,0,223,Foreseen Maintenance,2018-10-02 12:52:02,215154.0,278514.0
4839738,2015,6,3,2015-06-03 19:34:00.000,2015-06-04 01:06:00.000,CET,-6x_YWj9ryzQyXbJ3EwVjQ,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG03---O,Nováky TG3,Fossil Brown coal/Lignite ,110.0,0,1,Failure,2018-10-02 11:54:31,221494.0,221826.0
4955201,2015,6,8,2015-06-08 09:55:00.000,2015-07-05 09:55:00.000,CET,XFdc1xPdDKYmYAdSOmU2FQ,Active,Planned,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--HCVG04---W,Čierny Váh TG4,Hydro Pumped Storage ,122.4,0,223,Foreseen Maintenance,2018-10-02 12:52:02,228115.0,266995.0
4955202,2015,6,8,2015-06-08 09:55:00.000,2015-07-05 09:55:00.000,CET,sElFYzUPEQ-3szAus8Nw1A,Active,Planned,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--HCVG03---0,Čierny Váh TG3,Hydro Pumped Storage ,122.4,0,223,Foreseen Maintenance,2018-10-02 12:52:02,228115.0,266995.0
4867340,2015,6,23,2015-06-23 00:00:00.000,2015-06-23 14:00:00.000,CET,KUINobc-xxFjZFF-VQy9ng,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG03---O,Nováky TG3,Fossil Brown coal/Lignite ,110.0,0,1,Failure,2018-10-02 11:58:48,249120.0,249960.0
437549,2015,7,2,2015-07-02 18:56:00.000,2015-07-04 14:00:00.000,CET,RoG7mK5oEViZ9n46uOxKOg,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG03---O,Nováky TG3,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:01:07,263216.0,265800.0
445965,2015,7,4,2015-07-04 21:24:00.000,2015-07-08 03:05:00.000,CET,K_U7k_4CV8rn-JNwpBv_lQ,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:02:10,266244.0,270905.0
443581,2015,7,6,2015-07-06 14:47:00.000,2015-07-06 16:40:00.000,CET,E_nAbsDGVsn6_AM3bPGm2A,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EVOG15---A,Vojany TG5,Fossil Hard coal ,110.0,0,1,Failure,2018-10-02 12:01:46,268727.0,268840.0
447864,2015,7,6,2015-07-06 14:53:00.000,2015-07-09 21:46:00.000,CET,vDoPFoLzjSpRE2XAUQ3EmA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG03---O,Nováky TG3,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:02:21,268733.0,273466.0
445969,2015,7,8,2015-07-08 05:24:00.000,2015-07-08 08:11:00.000,CET,7myvU0zCjdfz5N3nf9spXA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,0,1,Failure,2018-10-02 12:02:10,271044.0,271211.0
447838,2015,7,8,2015-07-08 15:18:00.000,2015-07-10 09:00:00.000,CET,893gMVyE6csKe5QMELmpXA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,0,3,Failure,2018-10-02 12:02:21,271638.0,274140.0
464314,2015,7,17,2015-07-17 04:45:00.000,2015-07-17 18:38:00.000,CET,YoR7A6GQ0lhc7UMXSmhKJg,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EBOG32---8,Bohunice TG32,Nuclear ,250.0,0,1,Failure,2018-10-02 12:04:15,283965.0,284798.0
464316,2015,7,17,2015-07-17 06:49:00.000,2015-07-17 23:00:00.000,CET,z-Fh80VuGCpKAnw6URGTBA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EBOG31---D,Bohunice TG31,Nuclear ,250.0,0,1,Failure,2018-10-02 12:04:15,284089.0,285060.0
473591,2015,7,22,2015-07-22 20:36:00.000,2015-07-25 17:00:00.000,CET,2xyOgKhcn5nAiyWqIBrqWA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,0,3,Failure,2018-10-02 12:05:44,292116.0,296220.0
849912,2015,8,4,2015-08-04 17:23:00.000,2015-08-04 19:10:00.000,CET,9OLsUh1Tjb518UgHjfTAPA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EBOG32---8,Bohunice TG32,Nuclear ,250.0,0,1,Failure,2018-10-02 12:08:19,310643.0,310750.0
881421,2015,8,14,2015-08-14 06:55:00.000,2015-08-20 06:41:00.000,CET,XpMINAF3nIJNTuc7OcgwBA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:12:55,324415.0,333041.0
873903,2015,8,15,2015-08-15 03:16:00.000,2015-08-15 04:20:00.000,CET,GxAJ76_Ledx2OvjnZTaN4w,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG03---O,Nováky TG3,Fossil Brown coal/Lignite ,110.0,95,1,Failure,2018-10-02 12:11:46,325636.0,325700.0
879297,2015,8,15,2015-08-15 04:20:00.000,2015-08-19 14:43:00.000,CET,cJe5TkaMpQ693xB_YMukOw,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG03---O,Nováky TG3,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:12:33,325700.0,332083.0
873952,2015,8,16,2015-08-16 11:17:00.000,2015-08-16 13:48:00.000,CET,fdBboaRHbQA2HK_BK8S40w,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EBOG32---8,Bohunice TG32,Nuclear ,250.0,0,1,Failure,2018-10-02 12:11:46,327557.0,327708.0
2748658,2015,9,10,2015-09-10 18:32:00.000,2015-09-10 20:32:00.000,CET,lSF8ULZuiQ09lfWZXlW-ng,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EBOG41---7,Bohunice TG41,Nuclear ,250.0,0,1,Failure,2018-10-02 12:18:30,363992.0,364112.0
2767609,2015,9,24,2015-09-24 22:49:00.000,2015-09-25 00:00:00.000,CET,dS4inPsNLwjpgWUJhgsAxA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG02---T,Nováky TG2,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:22:18,384409.0,384480.0
2764812,2015,9,25,2015-09-25 04:01:00.000,2015-09-25 05:33:00.000,CET,quad97OlAcch7k7bgM3Gag,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,0,1,Failure,2018-10-02 12:21:50,384721.0,384813.0
2767613,2015,9,25,2015-09-25 07:00:00.000,2015-09-25 22:47:00.000,CET,filbRVQOeF0KwqwW19nXyw,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,55,1,Failure,2018-10-02 12:22:18,384900.0,385847.0
997796,2015,10,6,2015-10-06 00:58:00.000,2015-10-08 16:30:00.000,CET,RxCY0_EXSzpsVJN_lFjT3w,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG03---O,Nováky TG3,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:25:48,400378.0,404190.0
998087,2015,10,8,2015-10-08 07:27:00.000,2015-10-08 09:02:00.000,CET,nb9W49PtzmCe8G1WBwBerQ,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,0,1,Failure,2018-10-02 12:25:51,403647.0,403742.0
998091,2015,10,8,2015-10-08 09:09:00.000,2015-10-08 11:05:00.000,CET,yHAsLm6AfXfm7QyyzhwYZA,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG04---J,Nováky TG4,Fossil Brown coal/Lignite ,110.0,0,1,Failure,2018-10-02 12:25:51,403749.0,403865.0
1003276,2015,10,11,2015-10-11 00:10:00.000,2015-10-13 18:00:00.000,CET,YimfV8U8wrGditpRowIuPQ,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG03---O,Nováky TG3,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:26:45,407530.0,411480.0
1008444,2015,10,12,2015-10-12 13:12:00.000,2015-10-15 13:01:00.000,CET,0udk-VIwL9idcqL9ZWSD8Q,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG02---T,Nováky TG2,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:28:16,409752.0,414061.0
1027751,2015,10,15,2015-10-15 06:06:00.000,2015-10-15 07:22:00.000,CET,exBayTHLcEGjBFBxcaxrHQ,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EVOG16---5,Vojany TG6,Fossil Hard coal ,110.0,0,1,Failure,2018-10-02 12:31:22,413646.0,413722.0
1008472,2015,10,15,2015-10-15 10:34:00.000,2015-10-15 12:01:00.000,CET,QFeZ3XzYl5t90w17UvZqiw,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--EVOG16---5,Vojany TG6,Fossil Hard coal ,110.0,0,1,Failure,2018-10-02 12:28:16,413914.0,414001.0
1011861,2015,10,17,2015-10-17 14:40:00.000,2015-10-20 14:00:00.000,CET,XpYtuL8elhjlaK5amcAHpg,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG02---T,Nováky TG2,Fossil Brown coal/Lignite ,110.0,0,2,Failure,2018-10-02 12:28:57,417040.0,421320.0
1038435,2015,10,31,2015-10-31 12:59:00.000,2015-10-31 15:59:00.000,CET,D79k5fd2GzOt1qeT5pGNxg,Active,Forced,10YSK-SEPS-----K,BZN,SEPS BZ,SK,24WG--ENOG02---T,Nováky TG2,Fossil Brown coal/Lignite ,110.0,0,1,Failure,2018-10-02 12:33:00,437099.0,437279.0
