,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,ProductionType,AggregatedInstalledCapacity,DeletedFlag,UpdateTime
439,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Offshore,712.2,0,2017-09-13 15:14:19
418,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Nuclear,5931.0,0,2020-01-23 09:20:15
419,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Solar,2915.88,0,2020-01-23 09:20:14
422,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Oil,286.21,0,2020-01-23 09:20:15
424,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Biomass,679.63,0,2020-01-23 09:20:15
437,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Gas,6383.21,0,2020-01-23 09:20:15
428,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Hard coal,470.0,0,2017-09-13 15:14:19
430,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Waste,361.24,0,2020-01-23 09:20:15
432,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Pumped Storage,1308.0,0,2017-09-13 15:14:19
433,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Onshore,1248.71,0,2020-01-23 09:20:15
427,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Run-of-river and poundage,170.56,0,2020-01-23 09:20:15
496,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Gas,6439.21,0,2020-01-23 09:20:15
495,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Biomass,690.34,0,2020-01-23 09:20:15
479,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Oil,288.49,0,2020-01-23 09:20:15
482,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Hard coal,470.0,0,2017-09-13 15:14:21
483,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Nuclear,5931.0,0,2020-01-23 09:20:15
484,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Pumped Storage,1308.0,0,2017-09-13 15:14:21
477,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Solar,2952.78,0,2017-09-13 15:14:21
486,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Onshore,1248.71,0,2017-09-13 15:14:21
487,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Waste,361.24,0,2020-01-23 09:20:15
490,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Offshore,712.2,0,2017-09-13 15:14:21
493,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Run-of-river and poundage,176.02,0,2020-01-23 09:20:15
512,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Biomass,698.76,0,2020-01-23 09:20:16
516,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Run-of-river and poundage,177.65,0,2017-09-13 15:14:25
513,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Gas,6477.13,0,2020-01-23 09:20:15
511,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Offshore,877.2,0,2017-09-13 15:14:25
