,Year,Month,Day,StartTS,EndTS,TimeZone,MRID,Status,Type,areacode,AreaTypeCode,AreaName,MapCode,PowerResourceEIC,UnitName,ProductionType,InstalledGenCapacity,UnavailabilityValue,Version,Reason,UpdateTime,startMins,endMins
1984684,2018,8,9,2018-08-09 00:00:00.000,2018-10-05 00:00:00.000,CET,Ti-T9sLS5iJK97P5kR33UA,Active,Planned,10YAT-APG------L,BZN,APG BZ,AT,14W-GEN-SIM1---Z,Sim1,Fossil Gas ,828.0,0,2,Foreseen Maintenance,2018-10-05 10:17:01,1895040.0,1977120.0
1131708,2018,9,25,2018-09-25 07:10:00.000,2018-10-25 06:05:00.000,CET,vTX1SV7um-kvhchWPgsK5Q,Withdrawn,Forced,10YAT-APG------L,BZN,APG BZ,AT,14W-BYP-TU-----M,Ybbs-Persenbeug,Hydro Run-of-river and poundage ,236.5,107,4,Foreseen Maintenance,2018-10-30 18:16:09,1963150.0,2006285.0
1127888,2018,9,29,2018-09-29 17:35:00.000,2018-09-30 07:30:00.000,CET,kK0Y6F7JY2g_I607ZPE4Mg,Active,Planned,10YAT-APG------L,BZN,APG BZ,AT,14WENERGIEAGWT4S,Kraftwerk Timelkam GUD,Fossil Gas ,400.0,0,4,Foreseen Maintenance,2018-10-02 17:26:57,1969535.0,1970370.0
1128564,2018,9,30,2018-09-30 15:35:00.000,2018-10-01 09:45:00.000,CET,F16QlrXnvIfDCltfbqFgRQ,Active,Planned,10YAT-APG------L,BZN,APG BZ,AT,14WENERGIEAGWT4S,Kraftwerk Timelkam GUD,Fossil Gas ,400.0,0,6,Foreseen Maintenance,2018-10-02 17:27:10,1970855.0,1971945.0
2623843,2018,10,1,2018-10-01 00:00:00.000,2018-11-28 13:55:00.000,CET,yn4cyNmtn-8NCnoBl8wb8A,Active,Planned,10YAT-APG------L,BZN,APG BZ,AT,14W-KW-THE-M2--7,Theiß 2,Fossil Gas ,130.0,0,3,Failure,2018-11-29 17:04:03,1971360.0,2055715.0
2586203,2018,10,1,2018-10-01 06:06:00.000,2018-10-25 04:48:00.000,CET,O8KlEtemwoYmTcV9XXnkRA,Withdrawn,Forced,10YAT-APG------L,BZN,APG BZ,AT,14W-TZG-TU-----X,Gerlos,Hydro Water Reservoir ,200.2,48,2,Foreseen Maintenance,2018-10-11 21:16:18,1971726.0,2006208.0
2573605,2018,10,1,2018-10-01 06:24:00.000,2018-10-17 06:00:00.000,CET,aZ5Qw6b8UOEJ3ScOKF_iZg,Withdrawn,Forced,10YAT-APG------L,BZN,APG BZ,AT,14W-BAW-TU-----V,Altenwörth,Hydro Run-of-river and poundage ,328.0,211,2,Foreseen Maintenance,2018-10-04 15:46:32,1971744.0,1994760.0
2565890,2018,10,1,2018-10-01 13:11:00.000,2018-10-01 14:21:00.000,CET,cnJJ1qXuaG50orLAsd6m9Q,Active,Forced,10YAT-APG------L,BZN,APG BZ,AT,14W-GEN-DO3----F,DO3,Fossil Gas ,395.0,0,1,Failure,2018-10-02 17:27:18,1972151.0,1972221.0
2569104,2018,10,2,2018-10-02 00:45:00.000,2018-10-03 08:45:00.000,CET,8Zf2OnzEQjONXlwtnPZ5ww,Active,Planned,10YAT-APG------L,BZN,APG BZ,AT,14WENERGIEAGWT4S,Kraftwerk Timelkam GUD,Fossil Gas ,400.0,0,5,Foreseen Maintenance,2018-10-03 01:31:02,1972845.0,1974765.0
2567584,2018,10,2,2018-10-02 09:07:00.000,2018-10-05 09:07:00.000,CET,z4Hzr2v7jPX3tX58Iui70A,Withdrawn,Forced,10YAT-APG------L,BZN,APG BZ,AT,14W-TKP-TU-----Y,Limberg II,Hydro Pumped Storage ,480.0,0,2,Foreseen Maintenance,2018-10-02 17:27:44,1973347.0,1977667.0
2571207,2018,10,3,2018-10-03 16:45:00.000,2018-10-04 09:30:00.000,CET,mLhGu9YICcd2JomQHRAnbA,Active,Planned,10YAT-APG------L,BZN,APG BZ,AT,14WENERGIEAGWT4S,Kraftwerk Timelkam GUD,Fossil Gas ,400.0,0,5,Foreseen Maintenance,2018-10-03 21:16:01,1975245.0,1976250.0
2571892,2018,10,4,2018-10-04 01:59:00.000,2018-10-04 05:59:00.000,CET,JY0TU8qdaP4qGoCF1n-BrA,Withdrawn,Forced,10YAT-APG------L,BZN,APG BZ,AT,14W-TKO-TU-----7,Kaprun-Oberstufe,Hydro Pumped Storage ,112.8,0,2,Failure,2018-10-04 04:45:59,1975799.0,1976039.0
2571895,2018,10,4,2018-10-04 02:03:00.000,2018-10-04 06:03:00.000,CET,_cKoAF_BKe7D7PeBcNTZWw,Withdrawn,Forced,10YAT-APG------L,BZN,APG BZ,AT,14W-DRP-TU-----1,Reisseck 2,Hydro Pumped Storage ,430.0,0,2,Failure,2018-10-04 04:46:00,1975803.0,1976043.0
2572117,2018,10,4,2018-10-04 03:01:00.000,2018-10-04 07:01:00.000,CET,EiJadi0k9T0mDD2v9YfHGQ,Withdrawn,Forced,10YAT-APG------L,BZN,APG BZ,AT,14W-DMO-TU-----T,Malta-Oberstufe,Hydro Pumped Storage ,120.0,0,2,Failure,2018-10-04 07:16:00,1975861.0,1976101.0
2569697,2018,10,4,2018-10-04 06:00:00.000,2018-10-04 16:00:00.000,CET,RJvJRDpekHYctvpLMOsl2w,Withdrawn,Planned,10YAT-APG------L,BZN,APG BZ,AT,14W-BME-TU-----5,Melk,Hydro Run-of-river and poundage ,187.0,75,1,Foreseen Maintenance,2018-10-04 16:19:06,1976040.0,1976640.0
