,Year,Month,Day,StartTS,EndTS,TimeZone,MRID,Status,Type,areacode,AreaTypeCode,AreaName,MapCode,PowerResourceEIC,UnitName,ProductionType,InstalledGenCapacity,UnavailabilityValue,Version,Reason,UpdateTime,startMins,endMins
4401076,2015,1,1,2015-01-01 00:00:00.000,2016-01-01 00:00:00.000,CET,lggkvmhbd5CYrX2GDy7Y-Q,Active,Planned,10YNL----------L,BZN,TenneT NL BZ,NL,49W000000000004B,Claus A,Fossil Gas ,610.0,0,1,Failure,2018-10-02 12:46:29,0.0,525600.0
4401081,2015,1,1,2015-01-01 00:00:00.000,2016-01-01 00:00:00.000,CET,WZqoPJlcJ7Dj23rskO2qKw,Active,Planned,10YNL----------L,BZN,TenneT NL BZ,NL,49W0000000000059,Claus C,Fossil Gas ,1304.0,0,1,Failure,2018-10-02 12:46:29,0.0,525600.0
4404248,2015,1,1,2015-01-01 00:00:00.000,2015-01-13 00:00:00.000,CET,riCD-JVDBciL3wqLskTcFg,Withdrawn,Forced,10YNL----------L,BZN,TenneT NL BZ,NL,49W000000000079H,MVL380 Centrale Rotterdam 1,Fossil Hard coal ,736.0,0,110,Failure,2018-10-02 13:25:11,0.0,17280.0
4400502,2015,1,1,2015-01-01 00:00:00.000,2015-01-04 00:00:00.000,CET,zy5VLLGOZvjNDUDlwm-vBw,Active,Planned,10YNL----------L,BZN,TenneT NL BZ,NL,49W000000000037X,RoCa 3,Fossil Gas ,220.0,0,1,Foreseen Maintenance,2018-10-02 12:45:58,0.0,4320.0
4401391,2015,1,1,2015-01-01 00:00:00.000,2015-02-26 17:15:00.000,CET,inCkq8IA-Civ6wdkCckSAA,Active,Forced,10YNL----------L,BZN,TenneT NL BZ,NL,49W0000000000326,Maasvlakte 3,Fossil Hard coal ,1070.0,0,1,Failure,2018-10-02 12:46:53,0.0,81675.0
4401525,2015,1,3,2015-01-03 09:30:00.000,2015-01-03 19:15:00.000,CET,s6aaFq2U7GYS8etsYfqczw,Active,Forced,10YNL----------L,BZN,TenneT NL BZ,NL,49W000000000001H,Amer 8,Fossil Hard coal ,611.0,0,1,Failure,2018-10-02 12:47:00,3450.0,4035.0
4401079,2015,1,6,2015-01-06 10:00:00.000,2015-01-06 12:00:00.000,CET,eyBECKkxrJsY8Fz0loY06g,Active,Planned,10YNL----------L,BZN,TenneT NL BZ,NL,49W0000000000075,Eemshaven A,Fossil Hard coal ,790.0,0,1,Failure,2018-10-02 12:46:29,7800.0,7920.0
4401543,2015,1,6,2015-01-06 12:00:00.000,2015-01-06 15:00:00.000,CET,lyTOVU1H-H3iFQfJwXiK8g,Active,Forced,10YNL----------L,BZN,TenneT NL BZ,NL,49W0000000000075,Eemshaven A,Fossil Hard coal ,790.0,350,1,Failure,2018-10-02 12:47:00,7920.0,8100.0
4401082,2015,1,6,2015-01-06 15:00:00.000,2015-01-06 16:00:00.000,CET,_CX3R0wk2oylG6hhcb6fcw,Active,Planned,10YNL----------L,BZN,TenneT NL BZ,NL,49W0000000000075,Eemshaven A,Fossil Hard coal ,790.0,500,1,Failure,2018-10-02 12:46:29,8100.0,8160.0
4401080,2015,1,6,2015-01-06 16:00:00.000,2015-01-06 17:00:00.000,CET,-Bb3R5EA74hf_2K56MheJw,Active,Planned,10YNL----------L,BZN,TenneT NL BZ,NL,49W0000000000075,Eemshaven A,Fossil Hard coal ,790.0,650,1,Failure,2018-10-02 12:46:29,8160.0,8220.0
