,Year,Month,Day,StartTS,EndTS,TimeZone,MRID,Status,Type,areacode,AreaTypeCode,AreaName,MapCode,PowerResourceEIC,UnitName,ProductionType,InstalledGenCapacity,UnavailabilityValue,Version,Reason,UpdateTime,startMins,endMins
3432425,2015,2,5,2015-02-05 21:57:00.000,2015-02-06 02:00:00.000,CET,YWWJTBUuxcIBLcIEVRnUuQ,Active,Forced,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000046R,Stalon G1,Hydro Water Reservoir ,120.0,0,1,Failure,2018-10-02 11:43:28,51717.0,51960.0
3446951,2015,2,18,2015-02-18 07:00:00.000,2015-02-19 16:10:00.000,CET,Nr-YnZBt7gp_oonu0Cpucw,Active,Planned,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000042Z,Stornorrfors G1,Hydro Water Reservoir ,136.0,0,2,Foreseen Maintenance,2018-10-02 11:44:11,69540.0,71530.0
5268061,2015,3,9,2015-03-09 14:30:00.000,2015-03-09 17:00:00.000,CET,uN-1LTwdLq3yKshxn7bWkQ,Active,Planned,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000044V,Stornorrfors G3,Hydro Water Reservoir ,136.0,0,1,Foreseen Maintenance,2018-10-02 11:45:15,97350.0,97500.0
5280631,2015,3,24,2015-03-24 07:00:00.000,2015-03-24 13:50:00.000,CET,oC7btc-ug3BjesoSoYIBEA,Active,Planned,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000044V,Stornorrfors G3,Hydro Water Reservoir ,136.0,0,2,Foreseen Maintenance,2018-10-02 11:46:18,118500.0,118910.0
5283569,2015,3,26,2015-03-26 07:00:00.000,2015-03-26 13:55:00.000,CET,vqwkz-kpwSIOJJTPr9VpUg,Active,Planned,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000045T,Stornorrfors G4,Hydro Water Reservoir ,171.0,0,3,Foreseen Maintenance,2018-10-02 11:46:37,121380.0,121795.0
5712543,2015,4,13,2015-04-13 07:00:00.000,2015-04-24 13:43:00.000,CET,vH0nf3YfYmMNPzX-ZzTrkg,Active,Planned,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000046R,Stalon G1,Hydro Water Reservoir ,120.0,0,2,Foreseen Maintenance,2018-10-02 11:49:34,147300.0,163543.0
4752165,2015,5,24,2015-05-24 13:32:00.000,2015-05-24 15:00:00.000,CET,6fGPbPTNNphfvaKEpqTfng,Active,Forced,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000046R,Stalon G1,Hydro Water Reservoir ,120.0,0,1,Failure,2018-10-02 11:53:05,206732.0,206820.0
4840609,2015,6,7,2015-06-07 13:30:00.000,2015-06-07 17:30:00.000,CET,2xa_MOP1OXZSfzLeG3fNIg,Active,Planned,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000042Z,Stornorrfors G1,Hydro Water Reservoir ,136.0,0,4,Foreseen Maintenance,2018-10-02 11:54:48,226890.0,227130.0
4848966,2015,6,16,2015-06-16 13:50:00.000,2015-06-16 15:00:00.000,CET,xmTrwOt0b0ybkrCQJNo1ZA,Active,Planned,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000043X,Stornorrfors G2,Hydro Water Reservoir ,136.0,0,1,Foreseen Maintenance,2018-10-02 11:56:41,239870.0,239940.0
4866737,2015,6,25,2015-06-25 13:07:00.000,2015-06-25 18:45:00.000,CET,BE-sPKIskGnJExSwdM92Ew,Active,Forced,10Y1001A1001A45N,BZN,SE2 BZ,SE2,46WGU0000000043X,Stornorrfors G2,Hydro Water Reservoir ,136.0,0,3,Failure,2018-10-02 11:58:46,252787.0,253125.0
