,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,ProductionType,AggregatedInstalledCapacity,DeletedFlag,UpdateTime
1048,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Hydro Run-of-river and poundage,5604.7,0,2018-12-04 12:47:08
1041,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Coal-derived gas,0.0,0,2018-12-04 12:47:07
1042,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Gas,4467.7,0,2018-12-04 12:47:07
1043,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Oil,177.9,0,2018-12-04 12:47:07
1044,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Hard coal,598.0,0,2018-12-04 12:47:08
1045,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Oil shale,0.0,0,2018-12-04 12:47:08
1046,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Geothermal,0.9,0,2018-12-04 12:47:08
1047,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Peat,0.0,0,2018-12-04 12:47:08
1049,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Hydro Pumped Storage,3401.1,0,2018-12-04 12:47:08
1050,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Marine,0.0,0,2018-12-04 12:47:08
1051,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Hydro Water Reservoir,2984.6,0,2018-12-04 12:47:08
1052,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Other renewable,42.3,0,2018-12-04 12:47:08
1053,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Nuclear,0.0,0,2018-12-04 12:47:08
1054,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Solar,1193.0,0,2018-12-04 12:47:08
1055,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Waste,149.8,0,2018-12-04 12:47:08
