,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,ProductionType,AggregatedInstalledCapacity,DeletedFlag,UpdateTime
309,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Onshore,10322.0,0,2019-12-12 17:31:13
292,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Other,62.0,0,2017-09-13 15:14:19
294,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Marine,240.0,0,2017-09-13 15:14:19
295,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Water Reservoir,8214.0,0,2019-12-12 17:31:13
296,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Solar,6191.0,0,2019-12-12 17:31:13
297,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Gas,6121.0,0,2017-09-13 15:14:19
307,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Offshore,0.0,0,2019-12-12 17:31:13
302,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Pumped Storage,4965.0,0,2017-09-13 15:14:19
304,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Run-of-river and poundage,10314.0,0,2019-12-12 17:31:13
305,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Nuclear,63130.0,0,2017-09-13 15:14:19
306,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Hard coal,4810.0,0,2017-09-13 15:14:19
299,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Oil,6670.0,0,2017-09-13 15:14:19
386,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Marine,240.0,0,2017-09-13 15:14:21
383,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Pumped Storage,4965.0,0,2017-09-13 15:14:21
377,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Run-of-river and poundage,10325.5,0,2017-09-13 15:14:21
366,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Solar,6772.0,0,2019-12-12 17:31:13
376,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Onshore,1436.0,0,2019-12-12 17:31:13
370,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Offshore,0.0,0,2019-12-12 17:31:14
387,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Nuclear,63130.0,0,2017-09-13 15:14:21
369,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Water Reservoir,8204.0,0,2017-09-13 15:14:21
367,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Gas,6121.0,0,2017-09-13 15:14:21
392,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Other,62.0,0,2017-09-13 15:14:21
996,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Biomass,170.0,0,2017-09-13 15:14:25
373,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Hard coal,2930.0,0,2017-09-13 15:14:21
389,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Oil,6670.0,0,2017-09-13 15:14:21
719,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Marine,240.0,0,2017-09-13 15:14:25
723,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Pumped Storage,4965.0,0,2017-09-13 15:14:25
720,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Hard coal,2930.0,0,2017-09-13 15:14:25
718,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Oil,5300.0,0,2017-09-13 15:14:25
717,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Onshore,13569.0,0,2019-12-12 17:31:14
715,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Water Reservoir,8230.66,0,2017-09-13 15:14:25
712,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Run-of-river and poundage,10326.98,0,2017-09-13 15:14:25
705,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Other,62.0,0,2017-09-13 15:14:25
704,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Gas,6696.0,0,2017-09-13 15:14:25
703,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Solar,7660.0,0,2019-12-12 17:31:14
700,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Biomass,170.0,0,2017-09-13 15:14:25
725,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Offshore,0.0,0,2019-12-12 17:31:14
713,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Nuclear,63130.0,0,2017-09-13 15:14:25
526,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Biomass,1840.0,0,2018-08-09 11:36:52
511,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Gas,11812.0,0,2018-08-09 11:36:52
506,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Marine,240.0,0,2017-12-19 16:48:28
509,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Water Reservoir,8578.0,0,2018-08-09 11:36:52
510,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Offshore,0.0,0,2018-08-09 11:36:52
524,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Hard coal,3972.0,0,2018-08-09 11:36:52
513,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Oil,6263.0,0,2018-08-09 11:36:52
515,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Nuclear,63130.0,0,2017-12-19 16:48:29
518,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Other,175.0,0,2018-08-09 11:36:53
520,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Run-of-river and poundage,11222.0,0,2018-08-09 11:36:52
521,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Onshore,12518.0,0,2018-08-09 11:36:52
504,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Pumped Storage,5020.0,0,2018-08-09 11:36:53
501,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Solar,7170.0,0,2018-08-09 11:36:52
155,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Oil,3271.0,0,2018-12-04 16:47:26
148,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Offshore,0.0,0,2018-12-04 16:47:26
145,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Hard coal,3966.0,0,2018-12-04 16:47:26
144,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Other,108.0,0,2018-12-04 16:47:26
143,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Fossil Gas,11952.0,0,2018-12-04 16:47:26
141,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Water Reservoir,8279.0,0,2018-12-04 16:47:26
140,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Marine,240.0,0,2018-12-04 16:47:26
135,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Biomass,1931.0,0,2018-12-04 16:47:26
134,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Solar,8188.0,0,2018-12-04 16:47:26
133,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Wind Onshore,13610.0,0,2018-12-04 16:47:26
150,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Hydro Run-of-river and poundage,10955.0,0,2018-12-04 16:47:26
151,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YFR-RTE------C,BZN,RTE BZ,FR,Nuclear,63130.0,0,2018-12-04 16:47:26
