,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,ProductionType,AggregatedInstalledCapacity,DeletedFlag,UpdateTime
789,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Water Reservoir,0.0,0,2017-09-13 15:14:19
317,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Nuclear,492.0,0,2017-09-13 15:14:19
320,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Hard coal,7270.0,0,2017-09-13 15:14:19
321,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other,680.0,0,2017-09-13 15:14:19
324,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Gas,19590.0,0,2017-09-13 15:14:19
760,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Solar,1000.0,0,2017-09-13 15:14:19
761,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Run-of-river and poundage,38.0,0,2017-09-13 15:14:19
763,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Peat,0.0,0,2017-09-13 15:14:19
766,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Pumped Storage,0.0,0,2017-09-13 15:14:19
768,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Waste,869.0,0,2017-09-13 15:14:19
788,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Onshore,2646.0,0,2017-09-13 15:14:19
773,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other renewable,0.0,0,2017-09-13 15:14:19
774,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Marine,0.0,0,2017-09-13 15:14:19
775,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil,0.0,0,2017-09-13 15:14:19
776,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Offshore,228.0,0,2017-09-13 15:14:19
777,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil shale,0.0,0,2017-09-13 15:14:19
781,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Brown coal/Lignite,0.0,0,2017-09-13 15:14:19
784,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Geothermal,0.0,0,2017-09-13 15:14:19
785,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Biomass,400.0,0,2017-09-13 15:14:19
770,2015,1,1,2015-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Coal-derived gas,0.0,0,2017-09-13 15:14:19
449,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil shale,0.0,0,2017-09-13 15:14:21
450,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Brown coal/Lignite,0.0,0,2017-09-13 15:14:21
451,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil,0.0,0,2017-09-13 15:14:21
457,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Onshore,3284.0,0,2017-09-13 15:14:21
456,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Biomass,398.0,0,2017-09-13 15:14:21
446,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Offshore,357.0,0,2017-09-13 15:14:21
454,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Gas,19914.0,0,2017-09-13 15:14:21
427,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Hard coal,5658.0,0,2017-09-13 15:14:21
438,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Coal-derived gas,0.0,0,2017-09-13 15:14:21
440,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Run-of-river and poundage,38.0,0,2017-09-13 15:14:21
439,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Waste,674.0,0,2017-09-13 15:14:21
459,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Geothermal,0.0,0,2017-09-13 15:14:21
437,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other renewable,0.0,0,2017-09-13 15:14:21
436,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Solar,1429.0,0,2017-09-13 15:14:21
432,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Pumped Storage,0.0,0,2017-09-13 15:14:21
430,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Peat,0.0,0,2017-09-13 15:14:21
428,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other,0.0,0,2017-09-13 15:14:21
464,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Water Reservoir,0.0,0,2017-09-13 15:14:21
443,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Marine,0.0,0,2017-09-13 15:14:21
463,2016,1,1,2016-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Nuclear,486.0,0,2017-09-13 15:14:21
358,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil shale,0.0,0,2017-09-13 15:14:25
362,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Gas,19297.0,0,2017-09-13 15:14:25
326,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Pumped Storage,0.0,0,2017-09-13 15:14:25
328,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Waste,678.0,0,2017-09-13 15:14:25
330,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Coal-derived gas,0.0,0,2017-09-13 15:14:25
335,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Hard coal,4608.0,0,2017-09-13 15:14:25
337,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Run-of-river and poundage,38.0,0,2017-09-13 15:14:25
338,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil,0.0,0,2017-09-13 15:14:25
340,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other renewable,0.0,0,2017-09-13 15:14:25
364,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Nuclear,486.0,0,2017-09-13 15:14:25
342,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Solar,2039.0,0,2017-09-13 15:14:25
346,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Biomass,486.0,0,2017-09-13 15:14:25
351,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Offshore,638.0,0,2017-09-13 15:14:25
353,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Onshore,3479.0,0,2017-09-13 15:14:25
354,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Marine,0.0,0,2017-09-13 15:14:25
356,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Water Reservoir,0.0,0,2017-09-13 15:14:25
359,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other,0.0,0,2017-09-13 15:14:25
361,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Geothermal,0.0,0,2017-09-13 15:14:25
343,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Peat,0.0,0,2017-09-13 15:14:25
345,2017,1,1,2017-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Brown coal/Lignite,0.0,0,2017-09-13 15:14:25
182,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Peat,0.0,0,2017-09-25 09:30:38
159,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Solar,2584.0,0,2017-09-25 09:30:33
178,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Onshore,3675.0,0,2017-09-25 09:30:37
176,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Marine,0.0,0,2017-09-25 09:30:36
173,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Geothermal,0.0,0,2017-09-25 09:30:35
172,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil shale,0.0,0,2017-09-25 09:30:35
