Unnamed: 0,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,RegisterItemTypeName,LoadUpPrice,LoadDownPrice,GenerationUpPrice,GenerationDownPrice,NotSpecifiedUpPrice,NotSpecifiedDownPrice,PriceType,Currency,UpdateTime
2002,2015,1,1,2015-01-01 00:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2003,2015,1,1,2015-01-01 01:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2004,2015,1,1,2015-01-01 02:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2005,2015,1,1,2015-01-01 03:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2006,2015,1,1,2015-01-01 04:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2007,2015,1,1,2015-01-01 05:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2008,2015,1,1,2015-01-01 06:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2009,2015,1,1,2015-01-01 07:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2010,2015,1,1,2015-01-01 08:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2011,2015,1,1,2015-01-01 09:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2012,2015,1,1,2015-01-01 10:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2031,2015,1,1,2015-01-01 11:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2032,2015,1,1,2015-01-01 12:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2033,2015,1,1,2015-01-01 13:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2034,2015,1,1,2015-01-01 14:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2035,2015,1,1,2015-01-01 15:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2036,2015,1,1,2015-01-01 16:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2037,2015,1,1,2015-01-01 17:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2038,2015,1,1,2015-01-01 18:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2039,2015,1,1,2015-01-01 19:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2040,2015,1,1,2015-01-01 20:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2041,2015,1,1,2015-01-01 21:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2042,2015,1,1,2015-01-01 22:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
2043,2015,1,1,2015-01-01 23:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
867,2015,1,2,2015-01-02 00:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
868,2015,1,2,2015-01-02 01:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
869,2015,1,2,2015-01-02 02:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
870,2015,1,2,2015-01-02 03:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
871,2015,1,2,2015-01-02 04:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
872,2015,1,2,2015-01-02 05:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
873,2015,1,2,2015-01-02 06:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
874,2015,1,2,2015-01-02 07:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
875,2015,1,2,2015-01-02 08:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
876,2015,1,2,2015-01-02 09:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
877,2015,1,2,2015-01-02 10:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
878,2015,1,2,2015-01-02 11:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
879,2015,1,2,2015-01-02 12:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
880,2015,1,2,2015-01-02 13:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
881,2015,1,2,2015-01-02 14:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
882,2015,1,2,2015-01-02 15:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
902,2015,1,2,2015-01-02 16:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
903,2015,1,2,2015-01-02 17:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
904,2015,1,2,2015-01-02 18:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
905,2015,1,2,2015-01-02 19:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
906,2015,1,2,2015-01-02 20:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
907,2015,1,2,2015-01-02 21:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
908,2015,1,2,2015-01-02 22:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
909,2015,1,2,2015-01-02 23:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:02
18326,2015,1,3,2015-01-03 00:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:03
18327,2015,1,3,2015-01-03 01:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:03
18328,2015,1,3,2015-01-03 02:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:03
18329,2015,1,3,2015-01-03 03:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:03
18330,2015,1,3,2015-01-03 04:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:03
18331,2015,1,3,2015-01-03 05:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:03
18332,2015,1,3,2015-01-03 06:00:00.000,PT60M,10Y1001A1001A47J,MBA,SE4 MBA,SE4,Replacement Reserve (RR),,,0.0,0.0,,,AVERAGE,EUR,2017-09-14 13:17:03
